2023.03,0.00,0.00,0.00,100000.00
2023.04,833.33,833.33,0.00,100000.00
2023.05,833.33,833.33,0.00,100000.00
2023.06,833.33,833.33,0.00,100000.00
2023.07,833.33,833.33,0.00,100000.00
2023.08,833.33,833.33,0.00,100000.00
2023.09,833.33,833.33,0.00,100000.00
2023.10,833.33,833.33,0.00,100000.00
2023.11,833.33,833.33,0.00,100000.00
2023.12,833.33,833.33,0.00,100000.00
2024.01,833.33,833.33,0.00,100000.00
2024.02,833.33,833.33,0.00,100000.00
2024.03,833.33,833.33,0.00,100000.00
2024.04,833.33,833.33,0.00,100000.00
2024.05,833.33,833.33,0.00,100000.00
2024.06,833.33,833.33,0.00,100000.00
2024.07,2600.27,416.67,2183.60,97816.40
2024.08,2600.27,407.57,2192.70,95623.70
2024.09,2600.27,398.43,2201.84,93421.86
2024.10,2600.27,389.26,2211.01,91210.84
2024.11,2600.27,380.05,2220.23,88990.62
2024.12,2600.27,370.79,2229.48,86761.14
2025.01,2600.27,361.50,2238.77,84522.38
2025.02,2600.27,352.18,2248.09,82274.28
2025.03,2600.27,342.81,2257.46,80016.82
2025.04,2600.27,333.40,2266.87,77749.95
2025.05,2600.27,323.96,2276.31,75473.64
2025.06,2600.27,314.47,2285.80,73187.84
2025.07,2600.27,304.95,2295.32,70892.52
2025.08,2600.27,295.39,2304.89,68587.64
2025.09,2600.27,285.78,2314.49,66273.15
2025.10,2600.27,276.14,2324.13,63949.02
2025.11,2600.27,266.45,2333.82,61615.20
2025.12,2600.27,256.73,2343.54,59271.66
2026.01,2600.27,246.97,2353.31,56918.35
2026.02,2600.27,237.16,2363.11,54555.24
2026.03,2600.27,227.31,2372.96,52182.29
2026.04,2600.27,217.43,2382.84,49799.44
2026.05,2600.27,207.50,2392.77,47406.67
2026.06,2600.27,197.53,2402.74,45003.93
2026.07,2600.27,187.52,2412.75,42591.17
2026.08,2600.27,177.46,2422.81,40168.36
2026.09,2600.27,167.37,2432.90,37735.46
2026.10,2600.27,157.23,2443.04,35292.42
2026.11,2600.27,147.05,2453.22,32839.20
2026.12,2600.27,136.83,2463.44,30375.76
2027.01,2600.27,126.57,2473.71,27902.06
2027.02,2600.27,116.26,2484.01,25418.04
2027.03,2600.27,105.91,2494.36,22923.68
2027.04,2600.27,95.52,2504.76,20418.92
2027.05,2600.27,85.08,2515.19,17903.73
2027.06,2600.27,74.60,2525.67,15378.06
2027.07,2600.27,64.08,2536.20,12841.86
2027.08,2600.27,53.51,2546.76,10295.10
2027.09,2600.27,42.90,2557.38,7737.72
2027.10,2600.27,32.24,2568.03,5169.69
2027.11,2600.27,21.54,2578.73,2590.96
2027.12,2601.76,10.80,2590.96,0.00
